productName,price
SWEATER OVERSIZED,"
          €94,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
PORSCHE X LAMAREL OVERSIZED SWEATER,"
          €91,10
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
KNIT SWEATER,"
          €124,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
DOG CLUB SWEATER OVERSIZED,"
          €124,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
KNIT V-NECK,"
          €124,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
LINEN SHIRT,"
          €119,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
LAMAREL STRAIGHT JEANS,"
          €134,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
ATHLETIC ATTIRE ZIP SWEATER OVERSIZED,"
          €124,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
LAMAREL JEANS,"
          €119,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
PORSCHE X LAMAREL T-SHIRT EXTRA OVERSIZED,"
          €35,60
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
TROUSERS,"
          €194,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
TRACK PANTS,"
          €94,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
BLAZER,"
          €289,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
OFF-SHOULDER DRESS,"
          €109,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
WINCHESTER SHIRT,"
          €104,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
BODY 02 CUT-OUT,"
          €74,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
OVERSIZED BLAZER,"
          €329,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
WITHIN MOOD X LAMAREL CAP,"
          €49,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
DOG CLUB BANDANA,"
          €29,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
BODY 03 ROUND NECK,"
          €69,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
TURTLENECK BODY,"
          €69,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
WRAP COAT,"
          €489,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
LAMAREL BASEBALL CAP,"
          €49,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
WITHIN MOOD X LAMAREL STRAIGHT LEG TRACK PANTS,"
          €94,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
LINEN PANTS,"
          €109,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
STRAIGHT LEG TRACK PANTS,"
          €94,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
STRIPED PANTS,"
          €89,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
BETTER DAYS BODY,"
          €69,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
TRACK PANTS NO FLEECE,"
          €94,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
SWISS SPORT TOTE BAG,"
          €39,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
ATHLETIC ATTIRE TOTE BAG,"
          €39,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
CARD HOLDER,"
          €84,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
BIODEGRADABLE RETRO SUNGLASSES,"
          €179,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
BEANIE OVERSIZED,"
          €29,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
ATHLETIC ATTIRE CAP,"
          €49,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
THE CLASSICS CLUB TOTE BAG,"
          €39,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
TOTE BAG,"
          €39,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
PASSPORT HOLDER,"
          €124,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
WOOL-BLENDED JACKET,"
          €389,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
1992 TOTE BAG,"
          €39,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
DENIM JACKET,"
          €169,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
LEATHER RIDING BOOTS,"
          €329,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
PADDED VEST,"
          €194,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
LAMAREL CLASSIC SOCKS,"
          €14,90
        ,
          €94,90
        ,
          €104,90
        ,
          €39,90
        ,
          €134,90
        "
LAMAREL CAP,"
          €39,90
        ,
          €129,90
        ,
          €134,90
        ,
          €169,90
        ,
          €329,90
        "
