productName,image,price,color,size,description
SWEATER OVERSIZED NO FLEECE,//shoplamarel.com/cdn/shop/files/vanilla_sweateroversized.jpg?v=1717250221&width=1946,"€94,90,€129,90,€134,90,€169,90,€329,90",,,"Gender-free sizing.,This piece was designed to be part of your essential lamarel wardrobe. It is made from 100% GOTS certified organic cotton which is a soft and a chemical-free fabric. No fleece on the inside.,Designed in Switzerland and made in Portugal, because we care about who makes our clothes just as much as who we make them for."
LAMAREL UNIVERSITY OVERSIZED SWEATER,//shoplamarel.com/cdn/shop/products/xx1_09d05b3b-8486-46da-aa6d-15b93e1b5799.jpg?v=1705583393&width=1946,"€94,90,€94,90,€104,90,€39,90,€134,90",,,"Gender-free sizing.,This piece was designed to be part of your essential lamarel wardrobe. It is made from 100% GOTS certified organic cotton which is a soft and a chemical-free fabric.,Please note that organic cotton garments shrink a little bit after the first wash.,Designed in Switzerland and made in Portugal, because we care about who makes our clothes just as much as who we make them for."
LAMAREL SPORT SWEATER OVERSIZED,//shoplamarel.com/cdn/shop/products/kk_be5b59ab-1477-4acb-9278-c1469b0ff111.jpg?v=1705583516&width=1946,"€94,90,€94,90,€104,90,€39,90,€134,90",,,"Gender-free sizing.,This piece was designed to be part of your essential lamarel wardrobe. It is made from 100% GOTS certified organic cotton which is a soft and a chemical-free fabric.,Designed in Switzerland and made in Portugal, because we care about who makes our clothes just as much as who we make them for."
KNIT SKIRT,//shoplamarel.com/cdn/shop/files/KNITskirtBrown.jpg?v=1717682837&width=1946,"€109,90,€129,90,€134,90,€169,90,€329,90",,,"Designed in Switzerland and made in Portugal, because we care about who makes our clothes just as much as who we make them for."
PORSCHE X LAMAREL OVERSIZED SWEATER,//shoplamarel.com/cdn/shop/products/porsche_oversizedsweater.jpg?v=1705584164&width=1946,"€91,10,€129,90,€134,90,€169,90,€329,90",,,"LIMITED EDITION,Gender-free sizing.,It is made from 100% GOTS certified organic cotton which is a soft and a chemical-free fabric.,Designed in Switzerland and made in Portugal, because we care about who makes our clothes just as much as who we make them for."
ZIP SWEATER OVERSIZED,//shoplamarel.com/cdn/shop/products/gray_zipoversized2.jpg?v=1705583265&width=1946,"€94,90,€94,90,€104,90,€39,90,€134,90",,,"Gender-free sizing.,This piece was designed to be part of your essential lamarel wardrobe. It is made from 100% GOTS certified organic cotton which is a soft and a chemical-free fabric.,Designed in Switzerland and made in Portugal, because we care about who makes our clothes just as much as who we make them for."
SWEATER OVERSIZED,//shoplamarel.com/cdn/shop/products/darkgreen_oversizedsweater_d27d86e9-21e0-44b1-baaa-e4815ebc8f62.jpg?v=1713081358&width=1946,"€94,90,€129,90,€134,90,€169,90,€329,90",,,"Gender-free sizing.,This piece was designed to be part of your essential lamarel wardrobe. It is made from 100% GOTS certified organic cotton which is a soft and a chemical-free fabric.,Designed in Switzerland and made in Portugal, because we care about who makes our clothes just as much as who we make them for."
V-NECK SWEATER,//shoplamarel.com/cdn/shop/products/vneck_offwhite_4d691a8a-4889-4499-b117-5c3bf6991673.jpg?v=1715765726&width=1946,"€94,90,€129,90,€134,90,€169,90,€329,90",,,"Gender-free sizing.,This piece was designed to be part of your essential lamarel wardrobe. It is made from 100% GOTS certified organic cotton which is a soft and a chemical-free fabric.,Designed in Switzerland and made in Portugal, because we care about who makes our clothes just as much as who we make them for."
LINEN SHIRT DRESS,//shoplamarel.com/cdn/shop/products/LAMARELROPA-19072293178.jpg?v=1705579822&width=1946,"€164,90,€94,90,€104,90,€39,90,€134,90",,,"Designed in Switzerland and made in Portugal, because we care about who makes our clothes just as much as who we make them for."
OFF-SHOULDER DRESS,//shoplamarel.com/cdn/shop/products/LAMAREL-5.jpg?v=1705584547&width=1946,"€109,90,€129,90,€134,90,€169,90,€329,90",,,"Designed in Switzerland and made in Portugal, because we care about who makes our clothes just as much as who we make them for."
WOOL-BLENDED BOMBER JACKET,//shoplamarel.com/cdn/shop/files/WOOLBOMBERJACKETCAMEL.jpg?v=1717080017&width=1946,"€389,90,€94,90,€104,90,€39,90,€134,90",,,
